Condition ID,Test Vector ID,Branch Taken,Coverage Achieved,Traceability ID
COND_0144,TV_0144,False,True,REQ_GNC_0144
COND_0145,TV_0145,False,True,REQ_GNC_0145
COND_0146,TV_0146,False,True,REQ_GNC_0146
COND_0147,TV_0147,False,True,REQ_GNC_0147
COND_0148,TV_0148,True,True,REQ_GNC_0148
COND_0149,TV_0149,True,True,REQ_GNC_0149
COND_0150,TV_0150,True,True,REQ_GNC_0150
COND_0151,TV_0151,True,True,REQ_GNC_0151
COND_0152,TV_0152,False,True,REQ_GNC_0152
COND_0153,TV_0153,True,True,REQ_GNC_0153
COND_0154,TV_0154,True,True,REQ_GNC_0154
COND_0155,TV_0155,True,True,REQ_GNC_0155
COND_0156,TV_0156,True,True,REQ_GNC_0156
COND_0157,TV_0157,True,True,REQ_GNC_0157
COND_0158,TV_0158,True,True,REQ_GNC_0158
COND_0159,TV_0159,True,True,REQ_GNC_0159
COND_0160,TV_0160,True,True,REQ_GNC_0160
COND_0161,TV_0161,True,True,REQ_GNC_0161
COND_0162,TV_0162,False,True,REQ_GNC_0162
COND_0163,TV_0163,True,True,REQ_GNC_0163
COND_0164,TV_0164,True,True,REQ_GNC_0164
COND_0165,TV_0165,False,True,REQ_GNC_0165
COND_0166,TV_0166,False,True,REQ_GNC_0166
COND_0167,TV_0167,True,True,REQ_GNC_0167
COND_0168,TV_0168,True,True,REQ_GNC_0168
COND_0169,TV_0169,False,True,REQ_GNC_0169
COND_0170,TV_0170,True,True,REQ_GNC_0170
COND_0171,TV_0171,False,True,REQ_GNC_0171
COND_0172,TV_0172,False,True,REQ_GNC_0172
COND_0173,TV_0173,True,True,REQ_GNC_0173
COND_0174,TV_0174,True,True,REQ_GNC_0174
COND_0175,TV_0175,True,True,REQ_GNC_0175
COND_0176,TV_0176,False,True,REQ_GNC_0176
COND_0177,TV_0177,False,True,REQ_GNC_0177
COND_0178,TV_0178,False,True,REQ_GNC_0178
COND_0179,TV_0179,False,True,REQ_GNC_0179
COND_0180,TV_0180,False,True,REQ_GNC_0180
COND_0181,TV_0181,True,True,REQ_GNC_0181
COND_0182,TV_0182,True,True,REQ_GNC_0182
COND_0183,TV_0183,True,True,REQ_GNC_0183
COND_0184,TV_0184,False,True,REQ_GNC_0184
COND_0185,TV_0185,False,True,REQ_GNC_0185
COND_0186,TV_0186,True,True,REQ_GNC_0186
COND_0187,TV_0187,True,True,REQ_GNC_0187
COND_0188,TV_0188,True,True,REQ_GNC_0188
COND_0189,TV_0189,True,True,REQ_GNC_0189
COND_0190,TV_0190,False,True,REQ_GNC_0190
COND_0191,TV_0191,True,True,REQ_GNC_0191
COND_0192,TV_0192,False,True,REQ_GNC_0192
COND_0193,TV_0193,True,True,REQ_GNC_0193
COND_0194,TV_0194,False,True,REQ_GNC_0194
COND_0195,TV_0195,False,True,REQ_GNC_0195
COND_0196,TV_0196,True,True,REQ_GNC_0196
COND_0197,TV_0197,True,True,REQ_GNC_0197
COND_0198,TV_0198,False,True,REQ_GNC_0198
COND_0199,TV_0199,True,True,REQ_GNC_0199
